index,UID,l4,l3_UID
GE-01-04-05,JkxpssU,"Understand the types of practice guidelines, strength of recommendations, and precautions for their use.",JnICKWM
GE-01-04-06,Jkxpssc,Can consider the application of evidence in the context of the individuality and situation of the patient.,JnICKWM
GE-01-05-01,Jkxpssg,"Can apply knowledge, theories, and interviewing methods related to behavioral science to preventive medicine, diagnosis, treatment, and care.",JnICKWU
GE-01-05-02,Jkxpssk,Can suggest appropriate environmental adjustments and cognitive-behavioral therapy.,JnICKWU
GE-01-05-03,Jkxpsss,Be able to apply knowledge of behavioral economics of health.,JnICKWU
GE-01-06-01,Jli5nRk,"Understand the concept of palliative care and be able to assess holistic suffering (physical, psychosocial, and spiritual pain).",JnICKWY
GE-01-06-02,Jli5nRs,Understand the overview of pharmacological and non-pharmacological treatments for cancer and non-cancer pain relief.,JnICKWY
GE-01-06-03,JmndeG4,"Understand the significance of communication with patients and their families regarding treatment and care in emergency/acute care, based on medical care in the final stage of life (end-of-life care), and be able to plan for frequent pain and its coping methods and care.",JnICKWY
GE-01-06-04,Jli5nRw,"Understand the pathophysiology, course, and treatment of chronic diseases and chronic pain, and be able to plan methods of coping with and caring for them.",JnICKWY
GE-01-06-05,Jli5nR4,"Plan sincere and appropriate support for patients and their families, including support for balancing schooling, employment, childcare, and nursing care, while taking into consideration the patient's distress and anxiety.",JnICKWY
GE-02-01-01,Jkxpss0,Understand regional health disparities and appropriately assess health care system issues such as barriers to accessing medical care.,JnICKWg
GE-02-01-02,Jkxpss4,Understands the relevance of a patient's geographic and cultural affiliation to health.,JnICKWg
GE-02-02-01,JkxpstA,"Understands the current overview of healthcare and physician maldistribution (regional, departmental and clinical/non-clinical) according to the actual conditions of the region (including urban, suburban, remote areas, and remote islands).",JnICKWk
GE-02-02-02,JkxpstE,Be able to respond flexibly as a medical practitioner according to the local medical system and the size and role of medical institutions.,JnICKWk
GE-02-02-03,JkxpstI,Be able to use indices such as incidence and prevalence of each disease in the region where the patient resides and utilize them in clinical reasoning.,JnICKWk
GE-02-02-04,JkxpstM,"Collect quantitative indicators (e.g., population composition) and qualitative information (geographical, historical, economic, and cultural background) of the community and explain local health issues.",JnICKWk
GE-02-02-05,JkxpstQ,Understand an overview of the significance of community health promotion activities in collaboration with local residents and professionals necessary to provide health care.,JnICKWk
GE-02-03-01,Jkxpstg,Be able to propose medical care and services according to the human and physical resources of the community.,JnICKWo
GE-02-03-02,Jkxpstk,"Understand the outline of medical care delivery systems and systems for nursing care, health care, and welfare in situations with limited medical resources, such as remote islands, remote areas, and areas with a shortage of physicians.",JnICKWo
GE-02-04-01,Jli5nR8,Understand the necessity and outline of issues based on the current situation and adaptation of home medical care.,JnICKWs
GE-02-04-02,Jli5nSE,Understand the outline of medical care in the final stage of life at home and the nature of end-of-life care and its challenges.,JnICKWs
GE-03-01-01,Jkxpstw,"Can examine patient issues from the perspective of the life cycle (fetal, neonatal, infant, school-age, adolescent, young adult, mature, geriatric, and end-of-life stages).",JnICKW0
GE-03-01-02,Jkxpst0,Examine health management and improvement of environment and lifestyle from the perspective of life stages and life events.,JnICKW0
GE-03-01-03,Jkxpst4,"Identify problems between patients and family members (abuse, neglect, etc.) from the perspective of the family life cycle, family member relationships, and family systems.",JnICKW0
GE-03-02-01,Jkxpst8,Understand the development of physiological functions during childhood.,JnICKW4
GE-03-02-02,JkxpsuA,Understand normal psychomotor development in childhood.,JnICKW4
GE-03-02-03,JkxpsuE,"Understands attachment formation, childcare methods, and nutrition during childhood.",JnICKW4
GE-03-02-04,JkxpsuI,Understand nutritional characteristics and nutritional education in childhood.,JnICKW4
GE-03-02-05,JkxpsuM,Understands the relationship between immune development and infectious diseases during childhood.,JnICKW4
GE-03-02-06,JkxpsuU,Understands the current status and issues regarding the transition of medical care from childhood to adulthood.,JnICKW4
GE-03-03-01,JkxpsuY,Understand physiological characteristics of fetal circulation and respiration and their changes at birth.,JnICKXA
GE-03-03-02,Jkxpsuc,Understands the physiological characteristics of neonates and infants.,JnICKXA
GE-03-04-01,Jkxpsuk,Understands the mechanisms of puberty onset and sexual characteristics.,JnICKXE
GE-03-04-02,Jkxpsuo,"Understand issues associated with school age and adolescence (issues related to academics, friends, etc.).",JnICKXE
GE-03-04-03,Jkxpsus,"Understand issues related to adolescence and young adulthood (issues related to reproduction, life, etc.)",JnICKXE
GE-03-04-04,Jkxpsuw,"Understand issues related to adulthood (issues related to mental health, work, infertility, etc.).",JnICKXE
GE-03-05-01,Jkxpsu0,Understand the changes in organs and body functions associated with aging and the physiological changes that accompany these changes.,JnICKXM
GE-03-05-02,Jkxpsu4,Be able to perform a comprehensive functional assessment of the elderly.,JnICKXM
GE-03-05-03,Jkxpsu8,"Understands geriatric syndromes (gait disorders and falls, cognitive dysfunction, voiding disorders, nutritional disorders, feeding and swallowing disorders, etc.).",JnICKXM
GE-03-05-04,JkxpsvA,"Understand the concepts of frailty, sarcopenia, and locomotive syndrome, how to deal with them, and how to prevent them.",JnICKXM
GE-03-05-05,JkxpsvE,Understand the International Classification of Functional Living Systems.,JnICKXM
GE-03-05-06,JkxpsvI,Understand nutrition management for the elderly.,JnICKXM
GE-03-05-07,JmiZ21Y,Understands nursing care and environmental maintenance according to activities of daily living.,JnICKXM
GE-03-06-01,JkxpsvQ,Understand the concept and definition of death and the death of biological individuals.,JnICKXQ
GE-03-06-02,JkxpsvY,Can use knowledge of the physical and mental processes leading to death to consider the patient's and family's view of life and death.,JnICKXQ
GE-03-06-03,Jkxpsvc,Understands end-of-life care.,JnICKXQ
GE-03-06-04,Jkxpsvg,Understands the particularities of the pediatric end-of-life care.,JnICKXQ
GE-03-06-05,Jkxpsvk,"Understands decision-making (ACP), compliance with advance directives, life-prolonging treatment, do-not-resuscitate instructions, death with dignity and euthanasia, and discontinuation and withholding of treatment.",JnICKXQ
GE-03-06-06,Jkxpsvo,Understands grief care (Grief Care).,JnICKXQ
GE-04-01-01,Jkxpsvs,"In understanding the patient's view of health and values of illness, the student will be able to apply a comprehensive approach to health issues, utilizing knowledge related to health (definitions, healthy life expectancy, health generation theory, wellbeing, quality of life, SDH, ICF, UHC, etc.).",JnICKXY
GE-04-01-02,Jkxpsvw,Can explain from a consumer's point of view the process by which a patient reaches the point of care.,JnICKXY
GE-04-01-03,Jkxpsv0,"To be able to assess an individual's nutritional status based on knowledge and statistical information on nutrition and energy metabolism, and to plan dietary support based on the life and values of the patient and family.",JnICKXY
GE-04-01-04,Jkxpsv4,"Can assess an individual's life activities based on knowledge and statistical information about physical activity and exercise, and can plan activity and exercise support based on the individual's and family's life and values.",JnICKXY
GE-04-01-05,Jkxpsv8,"Can evaluate rest and mental health based on knowledge and statistical information, and plan support based on the individual's and family's life and values.",JnICKXY
GE-04-01-06,JkxpswA,"With regard to smoking and alcohol consumption, be able to evaluate and plan support based on knowledge and statistical information about the health effects of smoking and alcohol consumption, taking into account the life and values of the individual and his/her family.",JnICKXY
GE-04-01-07,JkxpswE,Understand the social determinants of health and an overview of advocacy.,JnICKXY
GE-04-02-01,JkxpswI,"Be able to examine the meaning of a person's words and actions in the context of the person's life history, life history, and social relationships.",JnICKXc
GE-04-02-02,JkxpswM,"To be able to explain the relationship between patients and their families and their living environment, local communities, and medical institutions from the perspective of cultural anthropology and sociology (mainly medical anthropology and medical sociology).",JnICKXc
GE-04-02-03,JkxpswQ,To be able to explain various phenomena related to patients' judgment and behavior using theories and concepts from cultural anthropology and sociology (mainly medical anthropology and medical sociology).,JnICKXc
LL-01-01-01,JkxoFEQ,Recognize that medical knowledge is constantly changing and have access to the best current medical information.,JnIBYXQ
LL-01-01-02,JkxoFEY,"Reflect on what they have learned and experienced, and clarify their own issues.",JnIBYXQ
LL-01-02-01,JkxoFEc,Cultivate their own professional viewpoints while proactively building their careers.,JnIBYXY
LL-01-02-02,JtPG4ws,,JnIBYXY
LL-02-01-01,JkxoFEk,"Collaborate with juniors, colleagues, etc. in learning.",JnIBYXM
LL-02-01-02,JkxoFEs,Provide appropriate feedback to junior colleagues and peers.,JnIBYXM
LL-02-01-03,JkxoFEw,Utilize adult learning theory to educate junior colleagues and peers.,JnIBYXM
RE-01-01-01,JkxpmiQ,Question common sense.,JnIAX18
RE-01-01-02,JkxpmiU,Be intellectually curious about everything.,JnIAX18
RE-01-02-01,JkxpmiY,Be stimulated by cutting-edge research.,JnIAX2I
RE-01-02-02,Jkxpmic,Be exposed to the lives of researchers as role models.,JnIAX2I
RE-02-01-01,Jkxpmig,"Understand that the practice of medicine is based on research in basic medicine, clinical medicine, and social medicine.",JnIAX2M
RE-02-02-01,Jkxpmio,Read medical articles (in English) and understand their outlines.,JnIAX2U
RE-03-01-01,Jkxpmi8,To be able to ask questions about one's own interests.,JnIAX2Y
RE-03-02-01,JkxpmjA,To be able to make a rough draft of a research plan.,JnIAX2g
RE-03-03-01,JkxpmjE,Acquire basic experimental techniques from basic medical practice.,JnIAX2o
RE-03-03-02,Jk2L__4,Acquire basic research methodology from practical training in social medicine (including behavioral science).,JnIAX2o
RE-03-03-03,JkxpmjI,"Acquire basic research techniques in medical research through laboratory assignments, etc.",JnIAX2o
RE-03-04-01,JkxpmjM,Record and manage research data appropriately.,JnIAX2s
RE-04-01-01,JkxpmjQ,"To be able to summarize their own research in the form of papers, reports, conference presentations, etc.",JnIAX20
RE-04-01-02,JkxpmjU,To be able to present research contents in an easy-to-understand manner to readers and audiences in accordance with the presentation occasion.,JnIAX20
RE-04-01-03,JkxpmjY,To be able to ask questions and express opinions in response to other researchers' presentations.,JnIAX20
RE-05-01-01,Jkxpmjc,"To be able to explain the types of research misconduct, including fabrication, falsification, plagiarism, etc., and to refrain from committing research misconduct.",JnIAX24
RE-05-02-01,Jkxpmjg,Understand and comply with an overview of the rules regarding research involving human subjects (including clinical trials and specific clinical research).,JnIAX3A
RE-05-02-02,Jkxpmjk,Understand and comply with an overview of the rules regarding conflicts of interest and animal and genetic modification experiments.,JnIAX3A
PS-01-01-01,JkxnuHs,Understand an overview of cell observation methods.,JnIAssw
PS-01-01-02,JkxnuHw,Be able to illustrate the overall picture of a cell.,JnIAssw
PS-01-01-03,JkxnuH0,"Understand the structure and function of the nucleus, ribosome, endoplasmic reticulum, Golgi apparatus, lysosome and other intracellular membrane systems, mitochondria, chloroplast, and cytoskeleton.",JnIAssw
PS-01-01-04,JkxnuH4,Understand the structure and function of cell membranes and cell-cell adhesion and binding patterns.,JnIAssw
PS-01-01-05,JkxnuH8,Understand the characteristics of prokaryotic and eukaryotic cells.,JnIAssw
PS-01-01-06,JkxnuIA,"Understand Mendelian laws, mitochondrial inheritance, imprinting, and multifactorial inheritance.",JnIAssw
PS-01-01-07,JkxnuIE,Understand the relationship between genotype and phenotype.,JnIAssw
PS-01-01-08,JkxnuII,"Understand the structure of chromosomes, the structure and relationship between genomes, chromosomes and genes, and the behavior of chromosomes during somatic and meiotic divisions.",JnIAssw
PS-01-01-09,JkxnuIM,"Understand the expression and regulation of genetic information (central dogma), including DNA replication and repair, transcription from DNA to RNA, and translation leading to protein synthesis.",JnIAssw
PS-01-01-10,JkxnuIQ,Understand overview of genome analysis technologies including chromosome analysis and DNA sequencing.,JnIAssw
PS-01-01-11,JkxnuIU,Understand genome editing technologies and their applications.,JnIAssw
PS-01-01-12,JkxnuIY,Understand the basic concepts of evolution.,JnIAssw
PS-01-01-13,JkxnuIc,Understand species and their phylogenetic relationships.,JnIAssw
PS-01-01-14,JkxnuIg,Understand molecular phylogenetic trees based on comparison of amino acid and nucleotide sequences.,JnIAssw
PS-01-02-01,JkxnuIk,Understand the ionic composition of intracellular and extracellular fluids and the mechanisms of osmotic pressure and (resting) membrane potential formation.,JnIAss4
PS-01-02-02,JkxnuIo,"Understand ion channels, pumps, and active and passive transport processes of substances across the plasma membrane.",JnIAss4
PS-01-02-03,JkxnuIs,"Understand the mechanisms of action potential generation and conduction, synaptic (including neuromuscular junction) morphology and function (excitatory and inhibitory) and plasticity of synaptic transmission.",JnIAss4
PS-01-02-04,JkxnuIw,Understand the types and functions of signal transduction.,JnIAss4
PS-01-02-05,JkxnuI0,"Understand the types, subcellular localization, and functions of receptors and the intracellular signaling process by receptors.",JnIAss4
PS-01-02-06,JkxnuI4,"Understand intercellular signal transduction by humoral factors (autocrine, paracrine, and endocrine).",JnIAss4
PS-01-02-07,JkxnuI8,"Understand the proteins that make up the cytoskeleton, their functions, and cell motility by the actin filament system.",JnIAss4
PS-01-02-08,JkxnuJA,"Understand the processes of secretion and absorption across the plasma membrane, intracellular transport systems, and the role and function of microtubules.",JnIAss4
PS-01-02-09,JkxnuJE,"Understand axonal transport, axonal degeneration and regeneration.",JnIAss4
PS-01-02-10,JkxnuJI,Understand the structure and function of epithelial tissues and glands.,JnIAss4
PS-01-02-11,JkxnuJM,Understand the cells and intercellular matrix (fibrous components and matrix) that make up the supporting tissues.,JnIAss4
PS-01-02-12,JkxnuJQ,Understand the microstructure and function of blood vessels and lymphatic vessels.,JnIAss4
PS-01-02-13,JkxnuJU,Understand the microstructure of nerve tissue.,JnIAss4
PS-01-02-14,JkxnuJY,"Understand the structure and function of skeletal muscle, cardiac muscle, and smooth muscle.",JnIAss4
PS-01-02-15,JkxnuJc,Understand the mechanism of tissue regeneration.,JnIAss4
PS-01-02-16,JkxnuJg,"Understands positional relationships in directional terms (superior/inferior, anterior/posterior, medial/lateral, shallow/deep, cephalic/caudal, dorsal/ventral, proximal/distal, adduction/abduction).",JnIAss4
PS-01-02-17,JkxnuJk,Understands the types and mechanisms of sensory reception to stimuli.,JnIAss4
PS-01-02-18,JkxnuJo,Understand reflexes.,JnIAss4
PS-01-02-19,JkxnuJs,Understand homeostasis and adaptation of the body and the regulatory mechanisms for homeostasis (feedback regulation).,JnIAss4
PS-01-02-20,JkxnuJw,Understand rhythmic changes in biological functions and the body's internal environment.,JnIAss4
PS-01-02-21,JkxnuJ0,Understand the importance of the interaction between commensal bacteria/intestinal bacteria and the host in maintaining homeostasis.,JnIAss4
PS-01-02-22,JkxnuJ8,"Understand the sequence of events from gametogenesis to birth, the overall picture of embryogenesis, and the process of intraembryonic body cavity formation.",JnIAss4
PS-01-02-23,JkxnuKA,"Understand the formation and differentiation of body segments, gill arch and gill sac differentiation, and the formation process of the head and neck, face, and oral cavity.",JnIAss4
PS-01-02-24,JkxnuKE,"Understand the formation process of the skeleton and muscles of the trunk and limbs, cardiovascular system, and urogenital organs.",JnIAss4
PS-01-02-25,JkxnuKI,Understand the formation process of digestive and respiratory organs.,JnIAss4
PS-01-02-26,JkxnuKM,"Understand the differentiation of neural tube and the formation process of brain, spinal cord, visual organs, balance auditory organs and autonomic nervous system, and skin.",JnIAss4
PS-01-02-27,JkxnuKQ,Understand the function and regulation of enzymes.,JnIAss4
PS-01-02-28,JkxnuKU,"Understand the structure, metabolism and regulation of carbohydrates (glycolysis, citric acid circuit, electron transfer system and oxidative phosphorylation, glycogen metabolism, glycogenesis, pentose phosphate circuit) and their physiological significance.",JnIAss4
PS-01-02-29,JkxnuKY,"Understand protein structure, metabolism and regulation, physiological significance, metabolism of major amino acids, and the urea circuit.",JnIAss4
PS-01-02-30,JkxnuKc,"Understand the structure, metabolism and regulation, physiological significance, and transport of lipids (lipoproteins).",JnIAss4
PS-01-02-31,JkxnuKg,The student has an overview of the metabolism of heme porphyrins.,JnIAss4
PS-01-02-32,JkxnuKk,"Understand the synthesis, catabolism, and recycling pathways of nucleotides.",JnIAss4
PS-01-02-33,JkxnuKo,"Understand oxidative stress (free radicals, reactive oxygen species).",JnIAss4
PS-01-02-34,JkxnuKs,Understand the types and actions of vitamins and trace elements.,JnIAss4
PS-01-02-35,JkxnuKw,"Understand the interconversion of nutrients and energy metabolism (definition of energy, energy value in food, energy consumption, and estimated energy requirements).",JnIAss4
PS-01-02-36,JkxnuK0,"Understands metabolism during fasting, starvation, postprandial, overeating and exercise.",JnIAss4
PS-01-02-37,JkxnuK4,Understand complex carbohydrates and complex lipids.,JnIAss4
PS-01-03-01,JkxnuK8,Understand the differences in structure and function of bacteria as prokaryotes compared to eukaryotes.,JnIAss8
PS-01-03-02,JkxnuLA,Understand the mechanisms by which bacteria cause diseases by classifying the routes of bacterial infection.,JnIAss8
PS-01-03-03,JkxnuLE,Understand the mechanisms of action of protein toxins and non-protein toxins produced by bacteria.,JnIAss8
PS-01-03-04,JkxnuLI,"Describe the bacteriological characteristics, risk factors, routes of infection and pathogenesis of the major gram-positive cocci, gram-positive rods, gram-negative cocci, and gram-negative rods, and list the diseases they cause.",JnIAss8
PS-01-03-05,JkxnuLM,"Explain the bacteriological characteristics, risk factors, routes of infection, and pathology of acid-fast bacilli, and list the diseases they cause.",JnIAss8
PS-01-03-06,JkxnuLQ,"List the microbiological characteristics of helminths, mycoplasma, rickettsia, and chlamydia and the diseases they cause.",JnIAss8
PS-01-03-07,JkxnuLU,Understand the bacteria that make up the microbiome and the functions of the microbiome in various parts of the body.,JnIAss8
PS-01-03-08,JkxnuLY,Classify viruses according to the structure and properties of viral particles.,JnIAss8
PS-01-03-09,JkxnuLc,"Understand the species specificity, tissue specificity and adsorption, invasion, replication, maturation and release processes of viral infection, and the changes that occur in virus-infected cells.",JnIAss8
PS-01-03-10,JkxnuLg,"Describe the characteristics, risk factors, routes of infection and pathogenesis of the major DNA viruses (double-stranded DNA, single-stranded DNA, and incomplete single-stranded DNA viruses) and list the names of diseases caused by these viruses.",JnIAss8
PS-01-03-11,JkxnuLo,"Describe the characteristics, risk factors, routes of infection, and pathology of RNA viruses with reverse transcriptase, and list the names of diseases caused by these viruses.",JnIAss8
PS-01-03-12,JkxnuLs,"Describe the microbiological characteristics, risk factors, routes of infection, and pathology of fungi (zygomycetes, zygomycetes, basidiomycetes, and imperfect fungi) and list the diseases they cause.",JnIAss8
PS-01-03-13,JkxnuLw,"Understand the classification of protozoa (parasites), morphological characteristics, life history, risk factors, routes of infection and pathogenesis, infectious epidemiological significance, and characteristics of biological defense of parasite-infected hosts.",JnIAss8
PS-01-03-14,JkxnuL0,Understand the overview of the mechanisms of action of therapeutic agents based on the characteristics of microorganisms.,JnIAss8
PS-01-03-15,JkxnuL4,"Understand the principles, types, and problems associated with vaccines against microbial infections.",JnIAss8
PS-01-03-16,JkxnuL8,"Understand the life history, risk factors, routes of infection and pathogenesis, and infectious epidemiological significance of microorganisms that cause zoonotic diseases.",JnIAss8
PS-01-03-17,JkxnuMA,"Understand the life history, risk factors, transmission routes and pathology, and infectious epidemiological significance of microorganisms that cause vector-borne diseases.",JnIAss8
PS-01-03-18,JkxnuMI,Understand the tissues and cells involved in the immune response.,JnIAss8
PS-01-03-19,JkxnuMQ,Understand how complement and innate immune cells are activated by pathogens and cause inflammation.,JnIAss8
PS-01-03-20,JkxnuMU,Understand the basic structure and function of major histocompatibility gene complex class I and class II and the mechanism of T cell activation by antigen presentation.,JnIAss8
PS-01-03-21,JkxnuMY,"Understand the mechanisms of diversity acquisition based on the structure and reaction patterns of immunoglobulins and T cell antigen receptors, and the structure and genetic reconstitution of immunoglobulin and T cell antigen receptor genes.",JnIAss8
PS-01-03-22,JkxnuMc,"Understand the biological defense reactions in which helper T cells (Th1 cells, Th2 cells, and Th17 cells), cytotoxic T cells, and regulatory T cells are respectively responsible.",JnIAss8
PS-01-03-23,JkxnuMg,Understand the mechanism of antibody production by B cell activation and the role of antibodies.,JnIAss8
PS-01-03-24,JkxnuMk,"Understand the major cells constituting the innate immune system and their activation mechanisms (TLRs, etc.).",JnIAss8
PS-01-03-25,JkxnuMo,Understand the types and roles of antigen-presenting cells and the mechanisms of antigen presentation.,JnIAss8
PS-01-03-26,JkxnuMs,"Understand the overview of the characteristics of immune responses to viruses, bacteria, fungi and parasites.",JnIAss8
PS-01-03-27,JkxnuMw,Understand the overview of primary and acquired immunodeficiency syndromes.,JnIAss8
PS-01-03-28,JkxnuM0,Understand the mechanisms of maintenance of immune tolerance and the development of autoimmune diseases due to its breakdown.,JnIAss8
PS-01-03-29,JkxnuM4,Understand the mechanisms of allergy development.,JnIAss8
PS-01-03-30,JkxnuM8,Understand cellular mechanisms involved in cancer immunity.,JnIAss8
PS-01-03-31,JkxnuNA,Understand the dose-response curve of drug/toxin reactivity of a living organism (or group of organisms).,JnIAss8
PS-01-03-32,JkxnuNE,Understands the relationship between receptor binding and pharmacological effects of drugs and agonists and antagonists.,JnIAss8
PS-01-03-33,JkxnuNM,Understand drug adverse effects and drug-drug interactions.,JnIAss8
PS-01-04-01,JkxnuNY,Understand the diversity of individuals based on genomic diversity.,JnIAstE
PS-01-04-02,JkxnuNc,"Understand single gene diseases, diseases caused by chromosomal aberrations, and diseases caused by mitochondrial gene mutations, including the mode of inheritance.",JnIAstE
PS-01-04-03,JkxnuNg,Understand the relationship between genetic and environmental factors in multifactorial diseases.,JnIAstE
PS-01-04-04,JkxnuNk,Understand the relationship between drug efficacy and safety and genomic diversity.,JnIAstE
PS-01-04-05,JkxnuNo,"Understand the diversity, etiology and significance of cell injury/degeneration and cell death, including the difference between necrosis and apoptosis.",JnIAstE
PS-01-04-06,JkxnuNs,Understand the characteristics of cellular and tissue morphological changes in cell injury/degeneration and cell death.,JnIAstE
PS-01-04-07,JkxnuNw,Understand the pathogenesis of disorders of glucose metabolism.,JnIAstE
PS-01-04-08,JkxnuN0,Understand pathogenesis of abnormal protein and amino acid metabolism.,JnIAstE
PS-01-04-09,JkxnuN4,To understand pathophysiology of abnormal lipid metabolism.,JnIAstE
PS-01-04-10,JkxnuN8,To understand the pathophysiology of disorders of nucleic acid and nucleotide metabolism.,JnIAstE
PS-01-04-11,JkxnuOA,To understand pathophysiology of abnormal vitamin and trace element metabolism.,JnIAstE
PS-01-04-12,JkxnuOE,To understand the pathogenesis of metabolic syndrome.,JnIAstE
PS-01-04-13,JkxnuOI,"Understand the difference between hemodynamic disorders (inhibition, hypoxemia, hyperemia, stasis, hemorrhage) and their etiology and pathophysiology, and the types and pathophysiology of infarction (thrombus, embolus).",JnIAstE
PS-01-04-14,JkxnuOQ,"Understands abnormal blood pressure (hypertension, hypotension).",JnIAstE
PS-01-04-15,JkxnuOY,Understand the definition of inflammation.,JnIAstE
PS-01-04-16,JkxnuOc,"Understand classification of inflammation, histomorphological changes and changes over time (local and systemic changes).",JnIAstE
PS-01-04-17,JkxnuOg,Understand the healing process of inflammatory tissues.,JnIAstE
PS-01-04-18,JkxnuOk,"Understands inflammation and its relationship to metabolic syndrome, atherosclerosis, tumors, and aging.",JnIAstE
PS-01-04-19,JkxnuOs,Understands autonomic growth and the difference between benign and malignant tumors.,JnIAstE
PS-01-04-20,JkxnuOw,Understands the causes of cancer and genetic alterations.,JnIAstE
PS-01-04-21,JkxnuO4,"Understands terminology (dysplasia, intraepithelial carcinoma, advanced carcinoma, early-stage carcinoma, atypia, pleomorphism, etc.).",JnIAstE
PS-01-04-22,JkxnuO8,Understands the relationship between pathological diagnosis and treatment of cancer.,JnIAstE
PS-01-04-23,JkxnuPA,Understand the overview of metastasis of cancer.,JnIAstE
PS-01-04-24,JkxnuPE,Understand the mechanism of elimination of cancer by the immune system.,JnIAstE
PS-02-01-01,JmpZNJo,Understand organ-specific and systemic diseases (Table [Diseases]).,JnIAstI
PS-02-02-01,JkxnuPM,"Understand the basic structure and function of blood, blood-forming organs, and lymphatic system (Table [Blood, Blood-forming organs, Lymphatic system]).",JnIAstQ
PS-02-02-02,JkxnuPQ,"Understand the symptoms found in the blood, hematopoietic, and lymphatic systems (Table [blood, hematopoietic, and lymphatic systems]).",JnIAstQ
PS-02-02-03,JkxnuPU,"Understand the basic information about the methods of examination of the blood, blood-forming organs, and lymphatic system (Table [blood, blood-forming organs, lymphatic system]).",JnIAstQ
PS-02-02-04,JkxnuPY,"Understand the basics of treatments specific to diseases of the blood, blood-forming organs, and lymphatic system (Table [blood, blood-forming organs, lymphatic system]).",JnIAstQ
PS-02-02-05,JkxnuPc,"Understand the etiology, epidemiology, syndromes, examination, diagnosis, and treatment of diseases and conditions of the blood, hematopoietic, and lymphatic systems (Table [Blood, Hematopoietic, and Lymphatic Systems]).",JnIAstQ
PS-02-03-01,JkxnuPk,Understand the basic structure and function of the nervous system (Table [Nervous System]).,JnIAstY
PS-02-03-02,JkxnuPo,Understand the symptoms that can be seen in the nervous system (Table [Nervous System]).,JnIAstY
PS-02-03-03,JkxnuPs,Understand basic information about examination methods used in the nervous system (Table [Nervous System]).,JnIAstY
PS-02-03-04,JkxnuPw,Understand the basics of treatments specific to diseases of the nervous system (Table [Nervous System]).,JnIAstY
